CountyId,population,unemp,health_ins,poverty,SNAP,no_comp,no_internet,home_broad,broad_num,broad_avail,broad_cost,population_bbn,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Diversity.Index,Mean
49023,12017,2.5,12.1,11.4,5.4,9.5,20.2,77.5,3,73.9,80.46,10080,34.99,4.334424603,12.45128968,7.52281746,50.8920119,97.76438492,0.167063492,10694,5491,5203,4.6,92.4,0.2,0.9,0.1,0.2,6788,57590,2343,20457,1062,12.8,17.8,27.9,16,23.5,15.1,17.4,74.6,14,0.2,4.1,0.3,6.9,22.7,4602,75.7,18.2,6,0,2.9,0.136421,1192
49027,13188,2.8,14.9,11.4,8.7,7.3,17.4,81.9,2,58.9,68.96,9756,34.99,4.920254203,10.23462485,6.339278393,12.8999426,74.12802378,1,12651,6462,6189,13,83.3,0.3,1,0.8,0.1,7892,59312,4036,23283,956,11.6,19.1,29.4,16.1,18.4,19.3,16.8,75.1,16.6,0.2,1.9,0.7,5.5,17.5,5546,73.6,17.5,8.7,0.1,2.9,0.278008,564
49031,1479,4.8,22.2,17.1,8.4,16.2,30.3,67.1,1,100,59.99,1156,79.99,1.405709343,6.217128028,3.811418685,10.67322664,100,0.405709343,1860,966,894,3.6,95.8,0.2,0.1,0,0,1427,41750,4885,17455,1990,12.9,18.1,38.7,23.7,21.5,10.7,5.3,81.1,10.6,0,6.1,0.5,1.8,24.5,636,74.1,19.7,5.7,0.6,1.9,0.181427,574
49033,2483,3.1,12.5,15.9,2.7,6.6,19,76.3,3,63.5,77.15,2264,34.99,3.186837456,8.526943463,4.340106007,48.45736749,86.27429329,0.517226148,2307,1114,1193,8.9,88.9,0.1,0,0,0,1540,52917,11088,19512,2746,18,20.5,29.2,11.9,23.7,25.9,9.2,70.3,10.5,0,6.3,3.6,9.4,21.6,671,79.9,14.5,5.7,0,1.8,0.114355,514
49035,1160437,2.5,11.3,9.8,7,5.6,14.1,85.4,6,99.2,60.98,1031391,34.99,5.46319485,15.34350891,9.462010043,81.48621156,99.89878038,1,1106700,555589,551111,17.9,72.1,1.7,0.6,3.9,1.5,718732,67922,923,30134,279,10.4,13.1,38.8,14.8,26.5,7.9,12,75.2,11.5,3.8,2.2,1.8,5.6,22.1,564689,82.6,12.7,4.6,0.1,4.3,0.43042,1059
49039,30939,3.2,11.5,16.5,8.8,8.9,18.8,80.1,5,90.1,79.97,27973,34.99,3.618096021,10.59646802,6.431880742,37.20397562,97.24666643,0.631501805,28892,15311,13581,9.5,86.1,0.9,1,0.4,0.5,20289,50928,2718,17426,876,16.9,17.1,34.2,16.3,21.3,15,13.1,72.6,13.6,0.4,5.6,0.6,7.2,21,10784,75,17,8,0,6.8,0.245303,840
49045,72259,2.9,7.7,6.7,9,6.9,11.5,88.1,6,94.8,78.36,58388,34.99,7.389737617,14.33626773,8.456840447,48.85301535,94.36178667,0.241111187,63357,31942,31415,12,83.4,0.5,0.8,0.8,0.5,40381,66542,2759,24069,693,6.9,7.4,32.1,16.2,23.8,11.4,16.5,73.8,17.9,1.3,1.6,0.8,4.6,27.8,28406,77.5,18.6,3.8,0.1,6.5,0.28449,813
49049,636235,2.4,8.6,11.2,6.3,2.8,13.3,86.4,9,98.4,62.67,514753,34.99,6.290174122,17.97320851,12.04339946,77.31481122,99.70975788,0.664052468,576496,290874,285622,11.4,83,0.5,0.4,1.5,0.8,352481,67042,820,23207,271,11.8,10.4,41,15.2,26.5,7.6,9.9,73.2,11.8,2,4.1,2.3,6.7,21.4,257679,83.8,11.4,4.6,0.2,4.3,0.287995,1136
49051,34091,2.7,8.8,7.2,2.4,3.9,9.5,89.6,5,89.9,75.12,22364,34.99,8.05191379,18.01869075,10.47612234,67.23450054,91.04668217,0.033223037,29306,14903,14403,13.5,83.6,0.1,0.1,1.2,0,18354,74552,4096,30086,1703,7.8,10.2,36.7,20.9,24.4,10.6,7.4,78.6,12.2,0,1.5,0.9,6.7,23.3,14397,78.1,15.1,6.5,0.2,2.4,0.270605,1303
49057,260213,3,9.3,11.3,9.6,7.3,15.1,84.5,3,96,58.99,237862,34.99,4.122104413,13.20810806,7.200511221,90.79283955,96.88114537,0.05884084,244101,122542,121559,17.9,76.7,1,0.6,1.1,0.2,163145,62036,966,25275,421,12.1,15.4,32.9,14,25.3,10.4,17.4,80.4,10.4,1.8,1.3,1.5,4.6,22,115146,77.3,18.7,3.9,0.1,4.8,0.369438,973
50007,163774,1.8,3.3,11.8,9.4,7.1,14.2,85.4,3,94.9,62.98,158763,48.79,3.442735398,12.17469436,5.351864099,79.0736974,98.16725559,0.490681078,160985,78928,82057,2.2,89.2,2.5,0.2,3.8,0,125467,66906,2119,36384,705,11.3,12.2,47.6,16,21.2,6.5,8.6,73.3,8,2.6,7.8,2.8,5.4,21.1,90054,80,14.3,5.6,0.1,4.1,0.178613,1103
50013,7235,2.9,3.1,7.6,7.7,8.7,15.5,83.5,3,55.5,70,6970,79.99,2.462984218,10.46298422,4.108751793,24.25636872,67.72998565,0.469440459,6950,3432,3518,1.8,93.2,0.2,0.7,0.5,0,5668,66111,3036,38635,2360,7.5,10.5,37.5,15.4,24.7,10.6,11.7,75.8,12.4,0.2,1.5,0.7,9.3,33.4,3766,77.3,13.6,8.9,0.2,4.9,0.117162,965
50027,55062,2.1,4.7,10,11.6,10.6,18,81.4,5,100,74.99,57126,66.95,4.052322935,12.23147078,5.336554284,56.93820747,95.87742884,0.738280293,55485,27171,28314,1.5,95,0.7,0.2,0.8,0.1,44323,56828,2027,34264,1275,10.2,14.2,39.1,18.3,21.7,9.7,11.2,78.8,10.3,0.6,4.2,0.8,5.3,22.8,28099,78.8,12.8,8.1,0.3,4.5,0.091231,879
51001,32316,3.5,16.8,19.9,14.3,20.8,35.6,63.8,4,27.1,70,28826,59.99,3.506487199,10.83161035,4.646118088,41.92087144,62.29456047,0.926940956,32840,16079,16761,8.8,60.3,28.3,0.3,0.7,0,24408,42260,2253,24266,1564,19.8,31.8,31.1,17.7,18.8,15.1,17.3,80,10.6,0.5,2.6,1.8,4.5,22,13837,74.6,18.1,7.1,0.2,5.4,0.539878,900
51011,15911,3.5,8.2,13.5,15,22.9,33.9,65.5,3,66.2,58.32,11176,65,5.473067287,13.47306729,7.648711525,8.411756442,79.08196135,0.175644238,15462,7507,7955,1.3,76.7,20.1,0.1,0.2,0,12017,54875,5421,26347,1585,14.4,22.2,33.2,16.8,23.3,12.9,13.9,80.1,10.1,0.5,1.8,2.4,5.1,31.9,6890,79.1,18,2.8,0.1,3.5,0.371659,686
51023,33419,2.5,4.9,8,4.3,12.7,23,76.1,2,98.3,60.24,29154,44.95,4.210708651,11.2301571,4.964464567,49.85248096,76.61370652,0.533545997,33149,16421,16728,1.6,93,3,0.3,0.9,0,26210,64733,3179,34733,2718,7.7,10,38.4,14.2,22.4,10.5,14.5,89,6,0,0.9,0.4,3.8,28.3,16102,80.4,13.9,5.6,0,3.8,0.126151,855
51051,14318,4.9,9.6,24.3,22.1,27.9,39.3,60,4,99.2,60.24,14027,45.95,4.683182434,10.08084409,6.01910601,40.91006202,97.75040992,0.499821772,15181,7720,7461,0.8,97.8,0.8,0,0,0,12060,29916,3029,21082,4069,23,33.1,26.5,25.3,20.7,14.7,12.9,87.5,8.2,0.2,1.8,0.8,1.6,29.6,4577,66.7,27.8,5.5,0,5.6,0.037544,626
51061,71222,2.4,7.9,6.1,4.2,7.8,12.5,86.9,2,100,74.99,64317,39.99,3.062922711,11.18425922,5.953760281,50.73633767,100,0.405693674,68406,33858,34548,7.5,80.9,7.5,0.3,1.4,0,50064,94775,3957,43067,1524,6.2,8.1,42.8,16.6,20.8,12.4,7.4,79.9,8.9,1.2,1.5,1.2,7.3,39.8,34893,73.4,19.6,6.8,0.2,4,0.326766,1190
51085,107766,2.4,5.1,5.6,4.3,7.3,14,85.5,2,97.8,60.49,94254,39.99,3.837577185,8.858287181,3.912555435,71.18847147,88.09060623,0.162422815,103218,50653,52565,2.8,84.4,9,0.1,1.5,0,78580,84955,2275,37924,811,5.8,8.3,45.4,13.8,24.9,8.9,7.1,83.8,5.5,0.3,1.6,1.9,6.9,26.1,54324,78.9,16.5,4.4,0.1,3.4,0.268882,910
51093,37109,2.8,7.3,10,10.9,12.4,24.1,75.1,3,96.5,64.99,48104,39.99,3.397264261,8.397264261,3.430442375,40.54051971,86.80431981,0.14533095,36090,17651,18439,2.8,70.8,22.3,0.3,0.8,0.1,28186,67767,3199,33172,1434,10.3,17.1,36.9,14.9,22.8,13.5,11.9,88.7,6.9,0.2,0.5,0.5,3.2,29.2,17338,76.8,19.4,3.7,0,7,0.441937,869
51101,17148,2.7,6.9,10.1,6.7,14.1,28.6,70.2,3,96.3,66.99,15928,39.99,3.142579106,9.081303365,3.203854847,21.92178867,53.08933953,0.659342039,16329,8108,8221,0.8,76.2,18.2,0.8,1.1,0,12468,67423,3839,31192,2007,10.9,24.8,34.9,11.1,22.9,16.8,14.2,87.9,5.5,0.4,0.6,1.7,3.8,37.4,8284,78.7,16.9,4.2,0.1,3.7,0.387107,904
51107,413538,2.3,6.2,3.7,2.8,3,6.1,93.7,1,20.8,65.99,310009,39.99,4.199571625,11.5605934,5.895912699,155.9313055,100,0.118806228,374558,185575,188983,13.5,57.7,7.2,0.2,17.1,0.1,231130,129588,2111,50456,581,3.7,3.6,57.3,13.2,19.9,4.5,5.1,77.2,9.2,3.7,1.7,1.1,7,33.7,201528,78.7,16.8,4.4,0.1,3.8,0.587233,1455
51143,60354,3.4,9.7,15.6,14.6,21.1,32.6,66.2,6,38.2,54.72,41170,45,4.906339568,12.19042992,5.449477775,47.57862497,59.07264999,0.5378188,61970,30372,31598,2.5,74.2,21.1,0.1,0.4,0,48994,44356,1580,23597,920,14.7,22.1,24.9,18.2,22.1,12,22.7,84.6,9,0.2,1,1.6,3.7,25.1,27749,80.8,13.7,5.4,0.1,6.7,0.399682,667
